index	sentence1	label
0	oh ho. is this the first time u use these type of words	0
1	christmas is an occasion that is celebrated as a reflection of ur... values..., desires..., affections...&amp; traditions.... have an ideal christmas...	0
2	da my birthdate in certificate is in april but real date is today. but dont publish it. i shall give you a special treat if you keep the secret. any way thanks for the wishes	0
3	thk shld b can... ya, i wana go 4 lessons... haha, can go for one whole stretch...	0
4	watching tv lor. nice one then i like lor.	0
5	would really appreciate if you call me. just need someone to talk to.	0
6	ur cash-balance is currently 500 pounds - to maximize ur cash-in now send go to 86688 only 150p/msg. cc 08718720201 hg/suite342/2lands row/w1j6hl	1
7	the search 4 happiness is 1 of d main sources of unhappiness! accept life the way it comes! u will find happiness in every moment u live.	0
8	never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... always remember a stupid friend is here to share... bslvyl	0
9	reverse is cheating. that is not mathematics.	0
10	just hopeing that wasn???t too pissed up to remember and has gone off to his sisters or something!	0
11	ugh i don't wanna get out of bed. it's so warm.	0
12	... are you in the pub?	0
13	how much is blackberry bold2 in nigeria.	0
14	sorry, i'll call later in meeting any thing related to trade please call arul. &lt;#&gt;	0
15	i am great! how are you?	0
16	so when do you wanna gym harri	0
17	try to do something dear. you read something for exams	0
18	dear how is chechi. did you talk to her	0
19	ok lor ?_ reaching then message me.	0
20	call me when u're done...	0
21	what should i eat fo lunch senor	0
22	tiwary to rcb.battle between bang and kochi.	0
23	hmm... dunno leh, mayb a bag 4 goigng out dat is not too small. or jus anything except perfume, smth dat i can keep.	0
24	wn u r hurt by d prsn who s close 2 u, do fight wit dem. coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation.. gud eveb-)	0
25	oh thanks a lot..i already bought 2 eggs ..	0
26	pdate_now - double mins and 1000 txts on orange tariffs. latest motorola, sonyericsson & nokia & bluetooth free! call mobileupd8 on 08000839402 or call2optout/!yhl	1
27	guess what! somebody you know secretly fancies you! wanna find out who it is? give us a call on 09065394973 from landline datebox1282essexcm61xn 150p/min 18	1
28	oh you got many responsibilities.	0
29	ok.. ?? finishing soon?	0
30	i'm sorry. i've joined the league of people that dont keep in touch. you mean a great deal to me. you have been a friend at all times even at great personal cost. do have a great week.|	0
31	its ok chikku, and its my 1 of favourite song..:-)	0
32	i don't know u and u don't know me. send chat to 86688 now and let's find each other! only 150p/msg rcvd. hg/suite342/2lands/row/w1j6hl ldn. 18 years or over.	1
33	sorry, i'll call later	0
34	you are right though. i can't give you the space you want and need. this is really starting to become an issue. i was going to suggest setting a definite move out--if i'm still there-- after greece. but maybe you are ready and should do it now.	0
35	we have all rounder:)so not required:)	0
36	urgh, coach hot, smells of chip fat! thanks again, especially for the duvet (not a predictive text word).	0
37	chile, please! it's only a  &lt;decimal&gt;  hour drive for me. i come down all the time and will be subletting feb-april for audition season.	0
38	yeah. i got a list with only u and joanna if i'm feeling really anti social	0
39	haha... yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again	0
40	say thanks2.	0
41	no. it's not pride. i'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. you're not supposed to have to deal with this stuff. this is grownup stuff--why i don't tell you.	0
42	fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.	0
43	just sing hu. i think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. even things like choosing a phone plan require guidance. when in doubt ask especially girls.	0
44	todays vodafone numbers ending with 4882 are selected to a receive a ??350 award. if your number matches call 09064019014 to receive your ??350 award.	1
45	dunno, my dad said he coming home 2 bring us out 4 lunch. yup i go w u lor. i call u when i reach school lor...	0
46	u 447801259231 have a secret admirer who is looking 2 make contact with u-find out who they r*reveal who thinks ur so special-call on 09058094597	1
47	still at west coast... haiz... ??'ll take forever to come back...	0
48	ok then i come n pick u at engin?	0
49	on a tuesday night r u 4 real	0
50	dear where you. call me	0
51	hi my darlin im on my way to london and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx	0
52	yup. wun believe wat? u really neva c e msg i sent shuhui?	0
53	i know dat feelin had it with pete! wuld get with em , nuther place nuther time mayb?	0
54	sorry, i'll call later	0
55	if you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number	0
56	might ax well im there.	0
57	that's the trouble with classes that go well - you're due a dodgey one ??_ expecting mine tomo! see you for recovery, same time, same place	0
58	we walked from my moms. right on stagwood pass right on winterstone left on victors hill. address is &lt;#&gt;	0
59	isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. i jst did it.. takecare..:) goodmorning	0
60	natalja (25/f) is inviting you to be her friend. reply yes-440 or no-440 see her: www.sms.ac/u/nat27081980 stop? send stop frnd to 62468	1
61	didn't try, g and i decided not to head out	0
62	lol no. just trying to make your day a little more interesting	0
63	but i haf enuff space got like 4 mb...	0
64	that depends. how would you like to be treated? :)	0
65	see the forwarding message for proof	0
66	nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash	0
67	er yeah, i will b there at 15:26, sorry! just tell me which pub/cafe to sit in and come wen u can	0
68	guess he wants alone time. we could just show up and watch when they do..	0
69	no:-)i got rumour that you going to buy apartment in chennai:-)	0
70	no. she's currently in scotland for that.	0
71	i hope you know i'm still mad at you.	0
72	if you can make it any time tonight or whenever you can it's cool, just text me whenever you're around	0
73	haf u eaten? wat time u wan me 2 come?	0
74	we are okay. going to sleep now. later	0
75	we tried to contact you re your reply to our offer of a video phone 750 anytime any network mins half price line rental camcorder reply or call 08000930705	1
76	i know you are thinkin malaria. but relax, children cant handle malaria. she would have been worse and its gastroenteritis. if she takes enough to replace her loss her temp will reduce. and if you give her malaria meds now she will just vomit. its a self limiting illness she has which means in a few days it will completely stop	0
77	hi neva worry bout da truth coz the truth will lead me 2 ur heart. it??s the least a unique person like u deserve. sleep tight or morning	0
78	i only haf msn. it's yijue@hotmail.com	0
79	it is a good thing i'm now getting the connection to bw	0
80	tee hee. off to lecture, cheery bye bye.	0
81	tomorrow i am not going to theatre. . . so i can come wherever u call me. . . tell me where and when to come tomorrow	0
82	how's it feel? mr. your not my real valentine just my yo valentine even tho u hardly play!!	0
83	not from this campus. are you in the library?	0
84	....photoshop makes my computer shut down.	0
85	can you do online transaction?	0
86	k.:)do it at evening da:)urgent:)	0
87	nope. meanwhile she talk say make i greet you.	0
88	or ill be a little closer like at the bus stop on the same street	0
89	ok. not much to do here though. h&m friday, cant wait. dunno wot the hell im gonna do for another 3 weeks! become a slob- oh wait, already done that!	0
90	you are always putting your business out there. you put pictures of your ass on facebook. you are one of the most open people i've ever met. why would i think a picture of your room would hurt you, make you feel violated.	0
91	kinda. first one gets in at twelve! aah. speak tomo	0
92	hi elaine, is today's meeting confirmed?	0
93	call me. i m unable to cal. lets meet bhaskar, and deep	0
94	no no. i will check all rooms befor activities	0
95	\i;m reaching in another 2 stops.\""	0
96	anyway holla at me whenever you're around because i need an excuse to go creep on people in sarasota	0
97	do you know when dad will be back?	0
98	hi, the sexychat girls are waiting for you to text them. text now for a great night chatting. send stop to stop this service	1
99	check wid corect speling i.e. sarcasm	0
100	wot about on wed nite i am 3 then but only til 9!	0
101	how are you. wish you a great semester	0
102	i want kfc its tuesday. only buy 2 meals only 2. no gravy. only 2 mark. 2!	0
103	should i have picked up a receipt or something earlier	0
104	ok... help me ask if she's working tmr a not?	0
105	sunshine quiz wkly q! win a top sony dvd player if u know which country the algarve is in? txt ansr to 82277. ??1.50 sp:tyrone	1
106	do we have any spare power supplies	0
107	say this slowly.? god,i love you &amp; i need you,clean my heart with your blood.send this to ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...	0
108	misplaced your number and was sending texts to your old number. wondering why i've not heard from you this year. all the best in your mcat. got this number from my atlanta friends	0
109	neft transaction with reference number  &lt;#&gt;  for rs. &lt;decimal&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;time&gt; : &lt;#&gt;	0
110	today is accept day..u accept me as? brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy	0
111	dear, take care. i am just reaching home.love u a lot.	0
112	ps u no ur a grown up now right?	0
113	sent me de webadres for geting salary slip	0
114	all day working day:)except saturday and sunday..	0
115	happy new year to u too!	0
116	hey ! i want you ! i crave you ! i miss you ! i need you ! i love you, ahmad saeed al hallaq ...	0
117	dear subscriber ur draw 4 ??100 gift voucher will b entered on receipt of a correct ans. when was elvis presleys birthday? txt answer to 80062	1
118	not yet chikku..going to room nw, i'm in bus..	0
119	how much r ?_ willing to pay?	0
120	or remind me in a few hrs.	0
121	call me when you get the chance plz &lt;3	0
122	ok then no need to tell me anything i am going to sleep good night	0
123	sure! i am driving but will reach my destination soon.	0
124	ok lor...	0
125	is that what time you want me to come?	0
126	i uploaded mine to facebook	0
127	aiyar u so poor thing... i give u my support k... jia you! i'll think of u...	0
128	sitting ard nothing to do lor. u leh busy w work?	0
129	ur cash-balance is currently 500 pounds - to maximize ur cash-in now send cash to 86688 only 150p/msg. cc: 08718720201 po box 114/14 tcr/w1	1
130	i was slept that time.you there?	0
131	ok give me 5 minutes i think i see her. btw you're my alibi. you were cutting my hair the whole time.	0
132	no da. . vijay going to talk in jaya tv	0
133	tell where you reached	0
134	why you dint come with us.	0
135	up to ?_... ?? wan come then come lor... but i din c any stripes skirt...	0
